 Total solar irradiance (W/m2)
 -----------------------------
    year   365-day mean
  1977.695  1360.8275
  1977.698  1360.8271
  1977.700  1360.8264
  1977.703  1360.8265
  1977.706  1360.8271
  1977.708  1360.8280
  1977.711  1360.8284
  1977.714  1360.8292
  1977.716  1360.8309
  1977.719  1360.8325
  1977.722  1360.8352
  1977.724  1360.8381
  1977.727  1360.8402
  1977.730  1360.8439
  1977.732  1360.8473
  1977.735  1360.8503
  1977.738  1360.8529
  1977.740  1360.8550
  1977.743  1360.8568
  1977.746  1360.8595
  1977.751  1360.8618
  1977.754  1360.8638
  1977.757  1360.8649
  1977.759  1360.8660
  1977.762  1360.8656
  1977.765  1360.8665
  1977.767  1360.8666
  1977.770  1360.8671
  1977.773  1360.8679
  1977.776  1360.8699
  1977.778  1360.8715
  1977.781  1360.8735
  1977.784  1360.8713
  1977.786  1360.8737
  1977.789  1360.8751
  1977.792  1360.8771
  1977.794  1360.8795
  1977.797  1360.8805
  1977.800  1360.8820
  1977.802  1360.8828
  1977.805  1360.8837
  1977.808  1360.8848
  1977.810  1360.8855
  1977.813  1360.8866
  1977.816  1360.8876
  1977.818  1360.8881
  1977.821  1360.8881
  1977.824  1360.8871
  1977.827  1360.8855
  1977.829  1360.8845
  1977.832  1360.8846
  1977.835  1360.8828
  1977.837  1360.8815
  1977.840  1360.8832
  1977.843  1360.8846
  1977.845  1360.8865
  1977.848  1360.8883
  1977.851  1360.8903
  1977.854  1360.8932
  1977.856  1360.8956
  1977.859  1360.8969
  1977.862  1360.8995
  1977.864  1360.9005
  1977.867  1360.9020
  1977.870  1360.9034
  1977.872  1360.9050
  1977.875  1360.9062
  1977.878  1360.9071
  1977.880  1360.9088
  1977.883  1360.9104
  1977.886  1360.9124
  1977.888  1360.9135
  1977.891  1360.9144
  1977.894  1360.9148
  1977.896  1360.9152
  1977.899  1360.9146
  1977.902  1360.9133
  1977.905  1360.9139
  1977.907  1360.9150
  1977.910  1360.9165
  1977.913  1360.9186
  1977.918  1360.9204
  1977.921  1360.9216
  1977.923  1360.9235
  1977.926  1360.9254
  1977.929  1360.9277
  1977.931  1360.9298
  1977.934  1360.9323
  1977.937  1360.9349
  1977.939  1360.9370
  1977.942  1360.9390
  1977.945  1360.9414
  1977.948  1360.9437
  1977.950  1360.9457
  1977.953  1360.9481
  1977.956  1360.9501
  1977.958  1360.9526
  1977.961  1360.9545
  1977.964  1360.9568
  1977.966  1360.9598
  1977.969  1360.9619
  1977.972  1360.9629
  1977.974  1360.9635
  1977.977  1360.9639
  1977.980  1360.9644
  1977.982  1360.9666
  1977.985  1360.9681
  1977.988  1360.9723
  1977.990  1360.9764
  1977.993  1360.9802
  1977.996  1360.9835
  1977.999  1360.9863
  1978.001  1360.9883
  1978.004  1360.9900
  1978.007  1360.9916
  1978.009  1360.9930
  1978.012  1360.9945
  1978.015  1360.9958
  1978.017  1360.9974
  1978.020  1360.9979
  1978.023  1360.9990
  1978.026  1360.9977
  1978.028  1360.9984
  1978.031  1360.9971
  1978.034  1360.9966
  1978.036  1360.9965
  1978.039  1360.9966
  1978.042  1360.9978
  1978.044  1360.9996
  1978.047  1361.0022
  1978.050  1361.0049
  1978.052  1361.0073
  1978.055  1361.0096
  1978.058  1361.0118
  1978.060  1361.0138
  1978.063  1361.0164
  1978.066  1361.0189
  1978.068  1361.0215
  1978.071  1361.0238
  1978.074  1361.0258
  1978.077  1361.0276
  1978.079  1361.0293
  1978.082  1361.0316
  1978.085  1361.0334
  1978.087  1361.0352
  1978.090  1361.0376
  1978.093  1361.0409
  1978.095  1361.0425
  1978.098  1361.0438
  1978.101  1361.0446
  1978.104  1361.0455
  1978.106  1361.0466
  1978.109  1361.0480
  1978.112  1361.0494
  1978.114  1361.0509
  1978.117  1361.0527
  1978.120  1361.0546
  1978.122  1361.0560
  1978.125  1361.0574
  1978.128  1361.0590
  1978.130  1361.0607
  1978.133  1361.0619
  1978.136  1361.0631
  1978.138  1361.0642
  1978.141  1361.0659
  1978.144  1361.0680
  1978.146  1361.0703
  1978.149  1361.0725
  1978.152  1361.0745
  1978.155  1361.0762
  1978.157  1361.0779
  1978.168  1361.0801
  1978.171  1361.0811
  1978.173  1361.0818
  1978.176  1361.0823
  1978.179  1361.0822
  1978.181  1361.0819
  1978.184  1361.0820
  1978.187  1361.0828
  1978.189  1361.0836
  1978.192  1361.0854
  1978.195  1361.0885
  1978.198  1361.0919
  1978.200  1361.0945
  1978.203  1361.0973
  1978.206  1361.1007
  1978.208  1361.1035
  1978.211  1361.1060
  1978.214  1361.1084
  1978.216  1361.1111
  1978.219  1361.1101
  1978.222  1361.1123
  1978.224  1361.1146
  1978.227  1361.1162
  1978.230  1361.1169
  1978.232  1361.1179
  1978.235  1361.1188
  1978.238  1361.1201
  1978.240  1361.1210
  1978.243  1361.1228
  1978.246  1361.1251
  1978.249  1361.1284
  1978.251  1361.1313
  1978.254  1361.1349
  1978.257  1361.1376
  1978.259  1361.1394
  1978.262  1361.1407
  1978.265  1361.1437
  1978.267  1361.1450
  1978.270  1361.1460
  1978.273  1361.1465
  1978.276  1361.1472
  1978.278  1361.1475
  1978.281  1361.1478
  1978.284  1361.1487
  1978.286  1361.1494
  1978.289  1361.1512
  1978.292  1361.1523
  1978.294  1361.1538
  1978.297  1361.1550
  1978.300  1361.1560
  1978.302  1361.1571
  1978.305  1361.1587
  1978.308  1361.1606
  1978.310  1361.1622
  1978.313  1361.1642
  1978.316  1361.1658
  1978.318  1361.1670
  1978.321  1361.1683
  1978.324  1361.1693
  1978.327  1361.1704
  1978.329  1361.1719
  1978.335  1361.1733
  1978.337  1361.1749
  1978.340  1361.1765
  1978.343  1361.1777
  1978.345  1361.1782
  1978.348  1361.1779
  1978.351  1361.1768
  1978.354  1361.1759
  1978.356  1361.1754
  1978.359  1361.1746
  1978.362  1361.1732
  1978.364  1361.1722
  1978.367  1361.1719
  1978.370  1361.1722
  1978.372  1361.1729
  1978.375  1361.1736
  1978.378  1361.1746
  1978.380  1361.1746
  1978.383  1361.1737
  1978.386  1361.1724
  1978.388  1361.1724
  1978.391  1361.1733
  1978.394  1361.1746
  1978.396  1361.1759
  1978.399  1361.1761
  1978.402  1361.1770
  1978.405  1361.1788
  1978.407  1361.1813
  1978.410  1361.1813
  1978.413  1361.1816
  1978.415  1361.1831
  1978.418  1361.1851
  1978.421  1361.1857
  1978.423  1361.1862
  1978.426  1361.1871
  1978.429  1361.1877
  1978.431  1361.1887
  1978.434  1361.1899
  1978.437  1361.1929
  1978.439  1361.1960
  1978.442  1361.1976
  1978.445  1361.1947
  1978.448  1361.1906
  1978.450  1361.1857
  1978.453  1361.1857
  1978.456  1361.1801
  1978.458  1361.1782
  1978.461  1361.1782
  1978.464  1361.1785
  1978.466  1361.1765
  1978.469  1361.1759
  1978.472  1361.1759
  1978.474  1361.1759
  1978.477  1361.1740
  1978.480  1361.1742
  1978.482  1361.1750
  1978.485  1361.1750
  1978.488  1361.1755
  1978.490  1361.1772
  1978.493  1361.1791
  1978.496  1361.1791
  1978.501  1361.1775
  1978.504  1361.1766
  1978.507  1361.1763
  1978.509  1361.1766
  1978.512  1361.1757
  1978.515  1361.1774
  1978.517  1361.1790
  1978.520  1361.1785
  1978.523  1361.1790
  1978.526  1361.1803
  1978.528  1361.1813
  1978.531  1361.1813
  1978.534  1361.1807
  1978.536  1361.1829
  1978.539  1361.1848
  1978.542  1361.1848
  1978.544  1361.1849
  1978.547  1361.1863
  1978.550  1361.1882
  1978.552  1361.1882
  1978.555  1361.1873
  1978.558  1361.1880
  1978.560  1361.1877
  1978.563  1361.1881
  1978.566  1361.1863
  1978.568  1361.1863
  1978.571  1361.1855
  1978.574  1361.1859
  1978.577  1361.1855
  1978.579  1361.1855
  1978.582  1361.1871
  1978.585  1361.1871
  1978.587  1361.1902
  1978.590  1361.1902
  1978.593  1361.1920
  1978.595  1361.1932
  1978.598  1361.1948
  1978.601  1361.1956
  1978.604  1361.1967
  1978.606  1361.1979
  1978.609  1361.2017
  1978.612  1361.2069
  1978.614  1361.2120
  1978.617  1361.2164
  1978.620  1361.2208
  1978.622  1361.2272
  1978.625  1361.2324
  1978.628  1361.2351
  1978.630  1361.2351
  1978.633  1361.2357
  1978.636  1361.2343
  1978.638  1361.2352
  1978.641  1361.2324
  1978.644  1361.2327
  1978.646  1361.2345
  1978.649  1361.2346
  1978.652  1361.2350
  1978.655  1361.2350
  1978.657  1361.2367
  1978.660  1361.2367
  1978.663  1361.2379
  1978.665  1361.2406
  1978.668  1361.2435
  1978.671  1361.2435
  1978.673  1361.2452
  1978.676  1361.2490
  1978.679  1361.2526
  1978.681  1361.2532
  1978.684  1361.2542
  1978.687  1361.2563
  1978.689  1361.2590
  1978.692  1361.2590
  1978.695  1361.2615
  1978.698  1361.2657
  1978.700  1361.2716
  1978.703  1361.2729
  1978.706  1361.2760
  1978.708  1361.2799
  1978.711  1361.2836
  1978.714  1361.2843
  1978.716  1361.2858
